GEOID,fips,leanm
0100002,1,Alabama Youth Services
0100005,1,Albertville City
0100006,1,Marshall County
0100007,1,Hoover City
0100008,1,Madison City
0100009,1,Al Inst Deaf And Blind
0100011,1,Leeds City
0100012,1,Boaz City
0100013,1,Trussville City
0100018,1,Alabama School of Fine Arts
0100030,1,Alexander City
0100033,1,Glenwood Mental Health Service
0100035,1,
0100042,1,
0100060,1,Andalusia City
0100090,1,Anniston City
0100100,1,Arab City
0100120,1,Athens City
0100180,1,Attalla City
0100183,1,Alabama Clinical School
0100184,1,Excel Institute
0100185,1,Saraland City
0100188,1,Chickasaw City
0100189,1,
0100190,1,
0100194,1,
0100210,1,Auburn City
0100240,1,Autauga County
0100270,1,Baldwin County
0100300,1,Barbour County
0100330,1,Bessemer City
0100360,1,Bibb County
0100390,1,Birmingham City
0100420,1,Blount County
0100450,1,Brewton City
0100480,1,Bullock County
0100510,1,Butler County
0100540,1,Calhoun County
0100600,1,Chambers County
0100630,1,Cherokee County
0100660,1,Chilton County
0100690,1,Choctaw County
0100720,1,Clarke County
0100750,1,Clay County
0100780,1,Cleburne County
0100810,1,Coffee County
0100840,1,Colbert County
0100870,1,Conecuh County
0100900,1,Coosa County
0100930,1,Covington County
0100960,1,Crenshaw County
0100990,1,Cullman City
0101020,1,Cullman County
0101050,1,Dale County
0101080,1,Daleville City
0101110,1,Dallas County
0101140,1,Dekalb County
0101170,1,Decatur City
0101200,1,Demopolis City
0101230,1,Dothan City
0101260,1,Elba City
0101290,1,Elmore County
0101320,1,Enterprise City
0101350,1,Escambia County
0101380,1,Etowah County
0101410,1,Eufaula City
0101440,1,Fairfield City
0101470,1,Fayette County
0101530,1,Florence City
0101560,1,Fort Payne City
0101590,1,Franklin County
0101620,1,Gadsden City
0101640,1,Geneva City
0101660,1,Geneva County
0101680,1,Greene County
0101690,1,Guntersville City
0101710,1,Hale County
0101720,1,Haleyville City
0101730,1,Hartselle City
0101740,1,Henry County
0101760,1,Homewood City
0101770,1,Houston County
0101800,1,Huntsville City
0101830,1,Jackson County
0101860,1,Jacksonville City
0101890,1,Jasper City
0101920,1,Jefferson County
0101950,1,Lamar County
0101980,1,Lanett City
0102010,1,Lauderdale County
0102040,1,Lawrence County
0102070,1,Lee County
0102100,1,Limestone County
0102130,1,Linden City
0102160,1,Lowndes County
0102190,1,Macon County
0102220,1,Madison County
0102250,1,Marengo County
0102310,1,Marion County
0102350,1,Midfield City
0102370,1,Mobile County
0102400,1,Monroe County
0102430,1,Montgomery County
0102480,1,Morgan County
0102490,1,Mountain Brook City
0102520,1,Muscle Shoals City
0102550,1,Oneonta City
0102580,1,Opelika City
0102610,1,Opp City
0102635,1,Oxford City
0102640,1,Ozark City
0102650,1,Pell City
0102670,1,Perry County
0102700,1,Phenix City
0102730,1,Pickens County
0102760,1,Piedmont City
0102790,1,Pike County
0102820,1,Randolph County
0102850,1,Roanoke City
0102880,1,Russell County
0102910,1,Russellville City
0102940,1,Scottsboro City
0102970,1,Selma City
0103000,1,Sheffield City
0103030,1,Shelby County
0103062,1,St Clair County
0103090,1,Sumter County
0103120,1,Sylacauga City
0103150,1,Talladega City
0103180,1,Talladega County
0103210,1,Tallapoosa County
0103240,1,Tallassee City
0103270,1,Tarrant City
0103300,1,Thomasville City
0103330,1,Troy City
0103360,1,Tuscaloosa City
0103390,1,Tuscaloosa County
0103420,1,Tuscumbia City
0103430,1,Vestavia Hills City
0103450,1,Walker County
0103480,1,Washington County
0103510,1,Wilcox County
0103540,1,Winfield City
0103580,1,Winston County
0200001,2,Lower Kuskokwim School District
0200003,2,Lower Yukon School District
0200004,2,Yupiit School District
0200005,2,Kashunamiut School District
0200007,2,Aleutians East Borough School District
0200010,2,Aleutian Region School District
0200020,2,Bering Strait School District
0200030,2,Bristol Bay Borough School District
