GEOID,fips,leanm
0200050,2,Alaska Gateway School District
0200060,2,Cordova City School District
0200070,2,Copper River School District
0200090,2,Craig City School District
0200100,2,Delta-Greely School District
0200120,2,Dillingham City School District
0200130,2,Galena City School District
0200150,2,Ketchikan Gateway Borough School District
0200180,2,Anchorage School District
0200210,2,Juneau Borough School District
0200240,2,Sitka School District
0200270,2,Haines Borough School District
0200300,2,Hoonah City School District
0200330,2,Hydaburg City School District
0200360,2,Kake City School District
0200390,2,Kenai Peninsula Borough School District
0200450,2,Klawock City School District
0200480,2,Kodiak Island Borough School District
0200485,2,Lake and Peninsula Borough School District
0200510,2,Matanuska-Susitna Borough School District
0200520,2,Iditarod Area School District
0200525,2,Annette Island School District
0200540,2,Nenana City School District
0200570,2,Nome Public Schools
0200600,2,Fairbanks North Star Borough School District
0200610,2,North Slope Borough School District
0200625,2,Northwest Arctic Borough School District
0200630,2,
0200660,2,Petersburg Borough School District
0200670,2,Pribilof School District
0200680,2,Saint Mary's School District
0200690,2,Skagway School District
0200700,2,Southeast Island School District
0200710,2,Southwest Region School District
0200715,2,Tanana City School District
0200720,2,Unalaska City School District
0200730,2,Chatham School District
0200760,2,Kuspuk School District
0200770,2,Denali Borough School District
0200775,2,Yukon Flats School District
0200780,2,Valdez City School District
0200800,2,Chugach School District
0200810,2,Wrangell Public School District
0200840,2,Yakutat School District
0200862,2,Yukon-Koyukuk School District
0400001,4,Cave Creek Unified District
0400003,4,Research Based Education Corporation
0400004,4,Clarkdale-Jerome Elementary District
0400005,4,Salome Consolidated Elementary District
0400021,4,Masada Charter School  Inc.
0400022,4,Vernon Elementary District
0400023,4,Pinon Unified District
0400026,4,Heber-Overgaard Unified District
0400163,4,
0400212,4,New West School
0400295,4,Kingman Academy Of Learning
0400315,4,Yavapai Accommodation School District
0400419,4,
0400434,4,Santa Cruz County Regional School District
0400463,4,Arizona State School for the Deaf and Blind
0400480,4,Aguila Elementary District
0400520,4,Ajo Unified District
0400600,4,Alhambra Elementary District
0400630,4,Alpine Elementary District
0400680,4,Amphitheater Unified District
0400750,4,
0400790,4,Imagine Superstition Middle  Inc.
0400803,4,CAFA  Inc. dba Learning Foundation and Performing Arts Gilbe
0400840,4,Arlington Elementary District
0400870,4,Ash Creek Elementary District
0400885,4,Incito Schools
0400892,4,Legacy Traditional Charter Schools - Casa Grande
0400902,4,The Farm at Mission Montessori Academy
0400904,4,Edkey  Inc. - Sequoia Pathway Academy
0400910,4,Ash Fork Joint Unified District
0400960,4,Incito Schools
0401000,4,Bagdad Unified District
0401050,4,Balsz Elementary District
0401080,4,Beaver Creek Elementary District
0401180,4,Bisbee Unified District
0401230,4,
0401260,4,Bonita Elementary District
0401290,4,Bouse Elementary District
0401330,4,Bowie Unified District
0401380,4,Buckeye Elementary District
0401460,4,Sierra Vista Unified District
0401500,4,Bullhead City School District
0401600,4,Camp Verde Unified District
0401650,4,Canon Elementary District
0401680,4,Cartwright Elementary District
0401710,4,Casa Grande Elementary District
0401760,4,Catalina Foothills Unified District
0401810,4,Cedar Unified District
0401870,4,Chandler Unified District #80
0401940,4,Chinle Unified District
0402110,4,Clifton Unified District
0402130,4,Cochise Elementary District
0402190,4,Concho Elementary District
0402220,4,Congress Elementary District
0402250,4,Continental Elementary District
0402320,4,Coolidge Unified District
0402370,4,American Heritage Academy
0402400,4,Crane Elementary District
0402430,4,Creighton Elementary District
0402460,4,Crown King Elementary District
0402480,4,Graham County Special Services
0402490,4,Double Adobe Elementary District
0402530,4,Douglas Unified District
0402600,4,Duncan Unified District
0402690,4,Dysart Unified District
0402740,4,Mary C O'Brien Accommodation District
0402760,4,Elfrida Elementary District
0402790,4,Eloy Elementary District
0402860,4,Flagstaff Unified District
0402920,4,Florence Unified School District
0403010,4,Academy of Mathematics and Science Inc. 1
0403040,4,Fountain Hills Unified District
0403060,4,Fowler Elementary District
0403080,4,Fredonia-Moccasin Unified District
0403150,4,Fort Huachuca Accommodation District
0403200,4,Fort Thomas Unified District
0403240,4,Gadsden Elementary District
0403290,4,Kin Dah Lichii Olta  Inc.
0403310,4,Gila Bend Unified District
0403400,4,Gilbert Unified District
0403420,4,Glendale Elementary District
0403500,4,Destiny School  Inc.
0403550,4,Grand Canyon Unified District
0403660,4,Hackberry School District
0403730,4,Hayden-Winkelman Unified District
0403780,4,ASU Preparatory Academy 6
0403820,4,Holbrook Unified District
0403860,4,Maricopa County Regional District
0403870,4,Park View School  Inc.
0403900,4,Hyder Elementary District
0403950,4,Baboquivari Unified School District #40
0403960,4,Isaac Elementary District
0403990,4,J O Combs Unified School District
0404010,4,Joseph City Unified District
0404060,4,Kayenta Unified District
0404170,4,Kirkland Elementary District
0404230,4,Kyrene Elementary District
0404280,4,Telesis Center for Learning  Inc.
0404290,4,Laveen Elementary District
0404320,4,Liberty Elementary District
0404380,4,Litchfield Elementary District
0404410,4,Littlefield Unified District
0404440,4,Littleton Elementary District
0404500,4,Madison Elementary District
0404530,4,Maine Consolidated School District
0404570,4,Mammoth-San Manuel Unified District
0404630,4,
0404720,4,Maricopa Unified School District
0404770,4,Altar Valley Elementary District
0404820,4,Mayer Unified School District
0404860,4,Mcnary Elementary District
0404920,4,McNeal Elementary District
0404970,4,Boys & Girls Clubs of the East Valley dba Mesa Arts Academy
0405030,4,Miami Unified District
0405100,4,Mobile Elementary District
0405190,4,Young Scholars Academy Charter School Corp.
0405220,4,Mohawk Valley Elementary District
0405320,4,Morenci Unified District
0405340,4,Morristown Elementary District
0405360,4,Pima Accommodation District
0405400,4,Murphy Elementary District
0405430,4,Naco Elementary District
0405460,4,Nadaburg Unified School District
0405500,4,Rainbow Accommodation School
0405530,4,Nogales Unified District
0405640,4,Oracle Elementary District
0405670,4,The Charter Foundation  Inc.
0405730,4,Owens-Whitney Elementary District
0405760,4,Tonto Basin Elementary District
0405820,4,Page Unified District
0405850,4,Palo Verde Elementary District
0405880,4,Palominas Elementary District
0405930,4,Paradise Valley Unified District
0405980,4,Parker Unified School District
0406000,4,Patagonia Montessori Elementary School
0406070,4,The Shelby School
0406120,4,Peach Springs Unified District
0406150,4,Pearce Elementary District
0406210,4,Pendergast Elementary District
0406250,4,Peoria Unified School District
0406300,4,Arizona School For The Arts
0406360,4,Picacho Elementary District
0406440,4,Pima Unified District
0406510,4,Pine Strawberry Elementary District
0406580,4,Blue Ridge Unified School District No. 32
0406630,4,Pomerene Elementary District
0406730,4,Skyview School  Inc.
0406740,4,Sanders Unified District
0406780,4,Quartzsite Elementary District
0406810,4,Queen Creek Unified District
0406850,4,Ray Unified District
0406870,4,Red Mesa Unified District
0406900,4,Red Rock Elementary District
0406960,4,San Carlos Unified District
0407020,4,Riverside Elementary District
0407080,4,Roosevelt Elementary District
0407130,4,Round Valley Unified District
0407170,4,Saddle Mountain Unified School District
0407200,4,Sacaton Elementary District
0407240,4,Triumphant Learning Center
0407300,4,Great Expectations Academy
0407380,4,San Fernando Elementary District
0407430,4,San Simon Unified District
0407500,4,Santa Cruz Elementary District
0407520,4,Santa Cruz Valley Unified District
0407570,4,BASIS School  Inc.
0407630,4,Seligman Unified District
0407680,4,Sentinel Elementary District
0407700,4,Edkey  Inc. - Sequoia Village School
0407750,4,Bell Canyon Charter School  Inc
0407770,4,Skull Valley Elementary District
0407820,4,Snowflake Unified District
0407860,4,Solomon Elementary District
0407890,4,Somerton Elementary District
0407920,4,Sonoita Elementary District
0408020,4,St David Unified District
0408080,4,St Johns Unified District
0408130,4,Stanfield Elementary District
0408170,4,Sunnyside Unified District
0408230,4,Superior Unified School District
0408280,4,Hermosa Montessori Charter School
0408310,4,Tempe School District
0408410,4,Thatcher Unified District
0408430,4,Paloma School District
0408460,4,Hillside Elementary District
0408490,4,Tolleson Elementary District
0408550,4,Toltec Elementary District
0408600,4,Tombstone Unified District
0408640,4,Topock Elementary District
0408680,4,Tuba City Unified School District #15
0408800,4,Khalsa Family Services
0408820,4,P.L.C. Charter Schools
0408850,4,Vail Unified District
0408880,4,Valentine Elementary District
0409060,4,Washington Elementary School District
0409090,4,Wellton Elementary District
0409120,4,Wenden Elementary District
0409160,4,Whiteriver Unified District
0409190,4,Wickenburg Unified District
0409250,4,Willcox Unified District
0409310,4,Williams Unified District
0409390,4,Wilson Elementary District
0409430,4,Window Rock Unified District
0409460,4,Winslow Unified District
0409510,4,Yarnell Elementary District
0409540,4,Young Elementary District
0409570,4,Yucca Elementary District
0409600,4,Yuma Elementary District
0409733,4,Sedona-Oak Creek JUSD #9
0409734,4,AZ Dept of Juvenile Corrections
0500001,5,DEWITT SCHOOL DISTRICT
0500006,5,WARREN SCHOOL DISTRICT
0500009,5,CORNING SCHOOL DISTRICT
0500012,5,RIVERSIDE SCHOOL DISTRICT
0500015,5,SHERIDAN SCHOOL DISTRICT
0500016,5,MARMADUKE SCHOOL DISTRICT
0500017,5,PARAGOULD SCHOOL DISTRICT
0500019,5,BATESVILLE SCHOOL DISTRICT
0500020,5,MIDLAND SCHOOL DISTRICT
0500021,5,IZARD CO. CONS. SCHOOL DIST.
0500023,5,NEWPORT SCHOOL DISTRICT
0500026,5,PINE BLUFF SCHOOL DISTRICT
0500028,5,STAR CITY SCHOOL DISTRICT
0500029,5,GOSNELL SCHOOL DISTRICT
0500030,5,NEVADA SCHOOL DISTRICT
0500032,5,BEARDEN SCHOOL DISTRICT
0500035,5,ARK. SCHOOL FOR THE BLIND
0500036,5,ARK. SCHOOL FOR THE DEAF
0500041,5,WESTERN YELL CO. SCHOOL DIST.
0500042,5,HAMBURG SCHOOL DISTRICT
0500043,5,MOUNTAIN HOME SCHOOL DISTRICT
0500044,5,MAGNOLIA SCHOOL DISTRICT
0500045,5,SO. MISS. COUNTY SCHOOL DIST.
0500046,5,MANILA SCHOOL DISTRICT
0500047,5,TRUMANN SCHOOL DISTRICT
0500048,5,EAST POINSETT CO. SCHOOL DIST.
0500049,5,DEQUEEN SCHOOL DISTRICT
0500051,5,PALESTINE-WHEATLEY SCH. DIST.
0500065,5,LAFAYETTE COUNTY SCHOOL DISTRICT
0500067,5,CLEVELAND COUNTY SCHOOL DIST.
0500068,5,EMERSON-TAYLOR SCHOOL DISTRICT
0500070,5,CEDAR RIDGE SCHOOL DISTRICT
0500071,5,HILLCREST SCHOOL DISTRICT
0500072,5,DEER/MT. JUDEA SCHOOL DISTRICT
0500073,5,OUACHITA RIVER SCHOOL DISTRICT
0500076,5,OZARK MOUNTAIN SCHOOL DISTRICT
0500077,5,TWIN RIVERS SCHOOL DISTRICT
0500079,5,TWO RIVERS SCHOOL DISTRICT
0500082,5,LAWRENCE COUNTY SCHOOL DISTRICT
0500405,5,COSSATOT RIVER SCHOOL DISTRICT
0502250,5,ALMA SCHOOL DISTRICT
0502280,5,ALPENA SCHOOL DISTRICT
0502430,5,ARKADELPHIA SCHOOL DISTRICT
0502550,5,ARMOREL SCHOOL DISTRICT
0502580,5,ASHDOWN SCHOOL DISTRICT
0502610,5,ATKINS SCHOOL DISTRICT
0502670,5,AUGUSTA SCHOOL DISTRICT
0502700,5,BALD KNOB SCHOOL DISTRICT
0502730,5,BARTON-LEXA SCHOOL DISTRICT
0502790,5,BAUXITE SCHOOL DISTRICT
0502820,5,BAY SCHOOL DISTRICT
0502880,5,BEEBE SCHOOL DISTRICT
0502960,5,BENTON SCHOOL DISTRICT
0503030,5,PEA RIDGE SCHOOL DISTRICT
0503060,5,RESPONSIVE ED SOLUTIONS NORTHWEST ARK CLASSICAL ACADEMY
0503090,5,BERGMAN SCHOOL DISTRICT
0503150,5,BERRYVILLE SCHOOL DISTRICT
0503240,5,BISMARCK SCHOOL DISTRICT
0503300,5,BLEVINS SCHOOL DISTRICT
0503320,5,KIPP DELTA PUBLIC SCHOOLS
0503420,5,LEAD HILL SCHOOL DISTRICT
0503450,5,BOONEVILLE SCHOOL DISTRICT
0503480,5,BRADFORD SCHOOL DISTRICT
0503510,5,BRADLEY SCHOOL DISTRICT
0503630,5,BRINKLEY SCHOOL DISTRICT
0503640,5,BROOKLAND SCHOOL DISTRICT
0503690,5,BRYANT SCHOOL DISTRICT
0503710,5,BUFFALO IS. CENTRAL SCH. DIST.
0503750,5,CABOT SCHOOL DISTRICT
0503770,5,CADDO HILLS SCHOOL DISTRICT
0503840,5,CALICO ROCK SCHOOL DISTRICT
0503960,5,CARLISLE SCHOOL DISTRICT
0504020,5,WESTSIDE CONS. SCHOOL DISTRICT
0504050,5,CAVE CITY SCHOOL DISTRICT
0504080,5,CEDARVILLE SCHOOL DISTRICT
0504110,5,GENOA CENTRAL SCHOOL DISTRICT
0504170,5,WHITE CO. CENTRAL SCHOOL DIST.
0504200,5,CHARLESTON SCHOOL DISTRICT
0504350,5,CLARENDON SCHOOL DISTRICT
0504370,5,RECTOR SCHOOL DISTRICT
0504380,5,CLARKSVILLE SCHOOL DISTRICT
0504410,5,CLINTON SCHOOL DISTRICT
0504560,5,CONCORD SCHOOL DISTRICT
0504590,5,CONWAY SCHOOL DISTRICT
0504680,5,COTTER SCHOOL DISTRICT
0504740,5,COUNTY LINE SCHOOL DISTRICT
0504800,5,CROSSETT SCHOOL DISTRICT
0504830,5,CUSHMAN SCHOOL DISTRICT
0504860,5,CUTTER-MORNING STAR SCH. DIST.
0504890,5,DANVILLE SCHOOL DISTRICT
0504930,5,DARDANELLE SCHOOL DISTRICT
0504980,5,DECATUR SCHOOL DISTRICT
0505070,5,DELIGHT SCHOOL DISTRICT
0505170,5,DERMOTT SCHOOL DISTRICT
0505190,5,DES ARC SCHOOL DISTRICT
0505340,5,DIERKS SCHOOL DISTRICT
0505410,5,RESPONSIVE ED SOLUTIONS QUEST MIDDLE SCHOOL OF PINE BLUFF
0505430,5,DOVER SCHOOL DISTRICT
0505470,5,DREW CENTRAL SCHOOL DISTRICT
0505500,5,DUMAS SCHOOL DISTRICT
0505550,5,EARLE SCHOOL DISTRICT
0505580,5,EAST END SCHOOL DISTRICT
0505680,5,EL DORADO SCHOOL DISTRICT
0505760,5,ELKINS SCHOOL DISTRICT
0505850,5,ENGLAND SCHOOL DISTRICT
0505970,5,EUREKA SPRINGS SCHOOL DISTRICT
0506060,5,CAMDEN FAIRVIEW SCHOOL DIST.
0506090,5,FARMINGTON SCHOOL DISTRICT
0506120,5,FAYETTEVILLE SCHOOL DISTRICT
0506150,5,FLIPPIN SCHOOL DISTRICT
0506210,5,FORDYCE SCHOOL DISTRICT
0506240,5,FOREMAN SCHOOL DISTRICT
0506270,5,FORREST CITY SCHOOL DISTRICT
0506330,5,FORT SMITH SCHOOL DISTRICT
0506360,5,FOUKE SCHOOL DISTRICT
0506420,5,FOUNTAIN LAKE SCHOOL DISTRICT
0506540,5,GENTRY SCHOOL DISTRICT
0506630,5,GLEN ROSE SCHOOL DISTRICT
0506690,5,CENTERPOINT SCHOOL DISTRICT
0506840,5,GRAVETTE SCHOOL DISTRICT
0506870,5,GREEN FOREST SCHOOL DISTRICT
0506900,5,GREENBRIER SCHOOL DISTRICT
0506930,5,GREENLAND SCHOOL DISTRICT
0506990,5,GREENWOOD SCHOOL DISTRICT
0507110,5,GURDON SCHOOL DISTRICT
0507140,5,GUY-PERKINS SCHOOL DISTRICT
0507170,5,HACKETT SCHOOL DISTRICT
0507230,5,HAMPTON SCHOOL DISTRICT
0507290,5,HARMONY GROVE SCHOOL DISTRICT
0507320,5,HARMONY GROVE SCHOOL DISTRICT
0507350,5,HARRISBURG SCHOOL DISTRICT
0507380,5,HARRISON SCHOOL DISTRICT
0507410,5,HARTFORD SCHOOL DISTRICT
0507530,5,HAZEN SCHOOL DISTRICT
0507560,5,HEBER SPRINGS SCHOOL DISTRICT
0507620,5,HECTOR SCHOOL DISTRICT
0507680,5,HELENA/ W.HELENA SCHOOL DIST.
0507710,5,HERMITAGE SCHOOL DISTRICT
0507740,5,CROSS COUNTY SCHOOL DISTRICT
0507770,5,HIGHLAND SCHOOL DISTRICT
0507840,5,HOPE SCHOOL DISTRICT
0507860,5,HORATIO SCHOOL DISTRICT
0507890,5,HOT SPRINGS SCHOOL DISTRICT
0507920,5,JESSIEVILLE SCHOOL DISTRICT
0507990,5,HOXIE SCHOOL DISTRICT
0508010,5,HUGHES SCHOOL DISTRICT
0508040,5,WEST MEMPHIS SCHOOL DISTRICT
0508130,5,HUNTSVILLE SCHOOL DISTRICT
0508240,5,JASPER SCHOOL DISTRICT
0508280,5,JONESBORO SCHOOL DISTRICT
0508340,5,"Cajun Butterflies, Inc."
0508400,5,RIVERVIEW SCHOOL DISTRICT
0508490,5,KIRBY SCHOOL DISTRICT
0508610,5,LAKE HAMILTON SCHOOL DISTRICT
0508640,5,LAKESIDE SCHOOL DISTRICT
0508670,5,LAKESIDE SCHOOL DISTRICT
0508700,5,LAMAR SCHOOL DISTRICT
0508730,5,LAVACA SCHOOL DISTRICT
0508940,5,LINCOLN SCHOOL DISTRICT
0509000,5,LITTLE ROCK SCHOOL DISTRICT
0509060,5,LONOKE SCHOOL DISTRICT
0509150,5,MAGAZINE SCHOOL DISTRICT
0509190,5,MAGNET COVE SCHOOL DIST.
0509240,5,MALVERN SCHOOL DISTRICT
0509270,5,MAMMOTH SPRING SCHOOL DISTRICT
0509330,5,MANSFIELD SCHOOL DISTRICT
0509360,5,LEE COUNTY SCHOOL DISTRICT
0509390,5,MARION SCHOOL DISTRICT
0509420,5,MARKED TREE SCHOOL DISTRICT
0509480,5,SEARCY COUNTY SCHOOL DISTRICT
0509510,5,MARVELL SCHOOL DISTRICT
0509540,5,MAYFLOWER SCHOOL DISTRICT
0509570,5,MAYNARD SCHOOL DISTRICT
0509600,5,MCCRORY SCHOOL DISTRICT
0509630,5,MCGEHEE SCHOOL DISTRICT
0509720,5,MELBOURNE SCHOOL DISTRICT
0509750,5,MENA SCHOOL DISTRICT
0509780,5,MINERAL SPRINGS SCHOOL DIST.
0509840,5,MONTICELLO SCHOOL DISTRICT
0509990,5,MOUNT IDA SCHOOL DISTRICT
0510080,5,MT. VERNON/ENOLA SCHOOL DIST.
0510170,5,MOUNTAIN PINE SCHOOL DISTRICT
0510200,5,MOUNTAIN VIEW SCHOOL DISTRICT
0510260,5,MOUNTAINBURG SCHOOL DISTRICT
0510290,5,MULBERRY SCHOOL DISTRICT
0510320,5,SOUTH PIKE COUNTY SCHOOL DISTRICT
0510380,5,NASHVILLE SCHOOL DISTRICT
0510410,5,NEMO VISTA SCHOOL DISTRICT
0510440,5,NETTLETON SCHOOL DISTRICT
0510560,5,NORFORK SCHOOL DISTRICT
0510620,5,NORPHLET SCHOOL DISTRICT
0510680,5,N. LITTLE ROCK SCHOOL DISTRICT
0510920,5,OMAHA SCHOOL DISTRICT
0510950,5,OSCEOLA SCHOOL DISTRICT
0510980,5,OUACHITA SCHOOL DISTRICT
0511010,5,OZARK SCHOOL DISTRICT
0511070,5,PANGBURN SCHOOL DISTRICT
0511130,5,PARIS SCHOOL DISTRICT
0511220,5,PARKERS CHAPEL SCHOOL DIST.
0511340,5,PERRYVILLE SCHOOL DISTRICT
0511370,5,PIGGOTT SCHOOL DISTRICT
0511610,5,POCAHONTAS SCHOOL DISTRICT
0511700,5,POTTSVILLE SCHOOL DISTRICT
0511730,5,POYEN SCHOOL DISTRICT
0511760,5,PRAIRIE GROVE SCHOOL DISTRICT
0511820,5,PRESCOTT SCHOOL DISTRICT
0511850,5,PULASKI CO. SPEC. SCHOOL DIST.
0511880,5,QUITMAN SCHOOL DISTRICT
0511970,5,ROGERS SCHOOL DISTRICT
0512000,5,ROSE BUD SCHOOL DISTRICT
0512060,5,RUSSELLVILLE SCHOOL DISTRICT
0512090,5,SALEM SCHOOL DISTRICT
0512180,5,SCRANTON SCHOOL DISTRICT
0512210,5,SEARCY SCHOOL DISTRICT
0512420,5,SHIRLEY SCHOOL DISTRICT
0512450,5,SILOAM SPRINGS SCHOOL DISTRICT
0512480,5,SLOAN-HENDRIX SCHOOL DIST.
0512510,5,SMACKOVER SCHOOL DISTRICT
0512520,5,SO. CONWAY CO. SCHOOL DISTRICT
0512540,5,SOUTHSIDE SCHOOL DISTRICT
0512570,5,SOUTH SIDE SCHOOL DISTRICT
0512630,5,SPRING HILL SCHOOL DISTRICT
0512660,5,SPRINGDALE SCHOOL DISTRICT
0512870,5,STEPHENS SCHOOL DISTRICT
0512930,5,STRONG-HUTTIG SCHOOL DISTRICT
0512960,5,STUTTGART SCHOOL DISTRICT
0513080,5,GREENE CO. TECH SCHOOL DIST.
0513110,5,TEXARKANA SCHOOL DISTRICT
0513230,5,JACKSON CO. SCHOOL DISTRICT
0513260,5,TURRELL SCHOOL DISTRICT
0513350,5,VALLEY SPRINGS SCHOOL DISTRICT
0513380,5,VALLEY VIEW SCHOOL DISTRICT
0513410,5,VAN BUREN SCHOOL DISTRICT
0513440,5,VAN COVE SCHOOL DISTRICT
0513530,5,VILONIA SCHOOL DISTRICT
0513560,5,VIOLA SCHOOL DISTRICT
0513680,5,WALDRON SCHOOL DISTRICT
0513930,5,WATSON CHAPEL SCHOOL DISTRICT
0513950,5,WEINER SCHOOL DISTRICT
0514010,5,WEST FORK SCHOOL DISTRICT
0514020,5,WESTSIDE SCHOOL DISTRICT
0514040,5,WEST SIDE SCHOOL DISTRICT
0514140,5,WHITE HALL SCHOOL DISTRICT
0514160,5,WICKES SCHOOL DISTRICT
0514370,5,WONDERVIEW SCHOOL DISTRICT
0514400,5,WOODLAWN SCHOOL DISTRICT
0514430,5,WYNNE SCHOOL DISTRICT
0514490,5,YELLVILLE-SUMMIT SCHOOL DIST.
0600001,6,Acton-Agua Dulce Unified
0600002,6,California School for the Blind (State Special Schl)
0600003,6,California School for the Deaf-Fremont (State Special Schl)
0600006,6,Ross Valley Elementary
0600007,6,California School for the Deaf-Riverside (State Special Schl
0600009,6,Cuyama Joint Unified
0600011,6,Fort Sage Unified
0600012,6,Twin Ridges Elementary
0600013,6,Rocklin Unified
0600014,6,Hesperia UNF
0600015,6,Lucerne Valley Unified
0600016,6,Upland Unified
0600017,6,Apple Valley Unified
0600018,6,Mountain Valley Unified
0600019,6,Dublin Unified
0600020,6,Pleasanton Unified
0600021,6,
0600022,6,Mendota Unified
0600025,6,Manhattan Beach Unified
0600026,6,El Tejon Unified
0600027,6,Lake Elsinore Unified
0600028,6,Temecula Valley Unified
0600029,6,Murrieta Valley Unified
0600031,6,Pacific Unified
0600032,6,Redondo Beach UNF
0600033,6,Dos Palos Oro Loma Joint Unified
0600034,6,Windsor Unified
0600035,6,Farmersville Unified
0600036,6,Natomas Unified
0600037,6,Ferndale Unified
0600038,6,Mattole Unified
0600039,6,Delhi UNF
0600040,6,Riverdale Joint Unified
0600042,6,Warner Unified
0600043,6,Scotts Valley Unified
0600044,6,Healdsburg Unified
0600045,6,Orland Joint Unified
0600046,6,Gonzales Unified
0600047,6,Tracy Joint Unified
0600048,6,Paso Robles Joint Unified
0600049,6,Coast Unified
0600050,6,
0600051,6,Gridley Unified
0600052,6,Eureka City Schools
0600057,6,CEA San Joaquin Co
0600060,6,Hughson Unified
0600061,6,Riverbank Unified
0600062,6,Oakdale Joint Unified
0600063,6,Waterford Unified
0600064,6,
0600065,6,Dinuba Unified
0600067,6,Caruthers Unified
0600068,6,Golden Valley Unified
0600069,6,Valley Center-Pauma Unified
0600116,6,Chawanakee Unified
0600153,6,Alhambra Unified
0600158,6,Turlock Unified
0600159,6,Scott Valley Unified
0600160,6,Yosemite Unified
0601331,6,Trinity Alps Unified
0601332,6,Twin Rivers Unified
0601339,6,
0601409,6,Bishop Unified
0601410,6,Lammersville Joint Unified
0601414,6,Santa Barbara Secondary
0601415,6,Washington Unified
0601418,6,Woodlake Unified
0601420,6,Fortuna Elementary
0601421,6,Santa Paula Unified
0601423,6,Exeter Unified
0601426,6,Bonsall Unified
0601427,6,Penn Valley Union Elementary
0601428,6,Wiseburn Unified
0601620,6,ABC Unified
0601680,6,Ackerman Charter
0601710,6,Adelanto Elementary
0601770,6,Alameda Unified
0601860,6,Albany City Unified
